type,latitude,longitude,altitude (ft),name,desc
W,21.33575,-157.8384722,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3357222,-157.8384167,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.33575,-157.8384167,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3356944,-157.8384167,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3356667,-157.8384167,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3354722,-157.8381111,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3354444,-157.8381111,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3368611,-157.8382222,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3375,-157.8374722,,O Offspring,<div>Offspring of O17 or O49 likely<br></div>
W,21.3121667,-157.8481389,,O12,
W,21.3120556,-157.84825,,O13,
W,21.3116111,-157.84825,,O14,
W,21.3113333,-157.8480556,,O50,
W,21.3114444,-157.8481667,,O51,
W,21.3118611,-157.8482778,,O52,
W,21.3114444,-157.8477222,,O53,
W,21.3111944,-157.8478333,,O Offspring,<div>Likely offspring of Punchbowl trees</div>
W,21.3111667,-157.8477222,,O Offspring,<div>Likely offspring of Punchbowl trees<br></div>
W,21.3111389,-157.8476667,,O Offspring,<div>Likely offspring of Punchbowl trees<br></div>
W,21.3111667,-157.8476944,,O Offspring,<div>Likely offspring of Punchbowl trees<br></div>
W,21.3107778,-157.8473333,,O Offspring,<div>Likely offspring of Punchbowl trees<br></div>
W,21.3108889,-157.8476667,,O Offspring,<div>Likely offspring of Punchbowl trees<br></div>
W,21.311,-157.8501944,,O Offspring,<div>Likely offspring of Punchbowl trees<br></div>
W,21.3116944,-157.84375,,O Offspring,<div>Likely offspring of Punchbowl trees<br></div>
W,21.3167778,-157.8593333,,O Offspring,<div>Fruiting green<br></div>
W,21.3167778,-157.8594167,,O Offspring,
W,21.3170556,-157.8593611,,O Offspring,
W,21.3171111,-157.85925,,O Offspring,
W,21.317,-157.8594444,,O Offspring,
W,21.3171944,-157.8591667,,O Offspring,
W,21.3168889,-157.8595,,O Offspring,
W,21.3168611,-157.85925,,O Offspring,
W,21.3168611,-157.8592778,,O Offspring,
W,21.3170833,-157.8593056,,O Offspring,
W,21.3171111,-157.8593056,,O Offspring,
W,21.3171389,-157.8592778,,O Offspring,
W,21.3171667,-157.85925,,O Offspring,
W,21.3172222,-157.8591667,,O Offspring,
W,21.31725,-157.8591944,,O Offspring,
W,21.3173056,-157.8590556,,O Offspring,
W,21.3171944,-157.8588611,,O Offspring,
W,21.3173889,-157.8589722,,O Offspring,
W,21.3173889,-157.8589444,,O Offspring,
W,21.3174167,-157.8588889,,O Offspring,
W,21.3174444,-157.8588889,,O Offspring,
W,21.3173056,-157.8587222,,O Offspring,
W,21.3174444,-157.8585,,O Offspring,
W,21.3174444,-157.8585278,,O Offspring,
W,21.3176667,-157.8585556,,O Offspring,
W,21.3176944,-157.8585278,,O Offspring,
W,21.3177222,-157.8585278,,O Offspring,
W,21.3176667,-157.8583056,,O Offspring,
W,21.3171944,-157.8591667,,O Offspring,<div>Has green fruit<br></div>
W,21.3177222,-157.8581667,,O Offspring,
W,21.3177222,-157.8581944,,O Offspring,
W,21.3178333,-157.8583333,,O Offspring,
W,21.3178056,-157.8580833,,O Offspring,
W,21.3179444,-157.85825,,O Offspring,
W,21.3178889,-157.858,,O Offspring,
W,21.3178611,-157.8580556,,O Offspring,
W,21.3178611,-157.8580278,,O Offspring,
W,21.3179167,-157.8579722,,O Offspring,
W,21.3179722,-157.8581944,,O Offspring,
W,21.3179722,-157.8581667,,O Offspring,
W,21.3179444,-157.8581944,,O Offspring,
W,21.3180278,-157.8581111,,O Offspring,
W,21.3180556,-157.8581111,,O Offspring,
W,21.3181111,-157.8581944,,O Offspring,
W,21.318,-157.8578333,,O Offspring,
W,21.3183611,-157.8581389,,O Offspring,
W,21.3183333,-157.8581111,,O Offspring,
