Name,Description,longitude,latitude
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8383056,21.3357222
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8383056,21.3356667
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.83825,21.3356667
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8383333,21.3356667
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8383056,21.3356389
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8383333,21.3356389
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8384444,21.3357778
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8384444,21.33575
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8383889,21.3356944
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8383333,21.3356667
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8383056,21.3356389
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8383333,21.3356389
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8383333,21.3356111
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8383056,21.3355833
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8382778,21.3355556
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8383056,21.3355833
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.83825,21.3355278
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.83825,21.3355556
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.83825,21.3355278
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.83825,21.3355278
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8382778,21.3355278
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8381944,21.3354722
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8384167,21.3355833
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8385,21.3357778
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8385,21.3358056
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8383333,21.33575
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8382778,21.3357222
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8384722,21.3357778
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8384722,21.3357778
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8384444,21.3357222
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8384722,21.33575
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8384444,21.33575
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8384444,21.33575
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8384167,21.3357222
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8384167,21.33575
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8384444,21.3357222
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8384167,21.3357222
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8384167,21.3357222
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8384167,21.3356944
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8384167,21.3356667
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8381111,21.3354722
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8381111,21.3354444
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8381111,21.3354444
O Offspring,<div>Offspring of O17 or O49 likely<br></div>,-157.8382222,21.3368611
